word,code(s)
KZ-Music,"bebop, classical, country, dixieland, expressionist, folk, gospel, impressionist, jazz, Latin, modernist, neoclassical, neoromantic, pop, popular, punk, R&B, reggae, rock, rock 'n' roll, romantic, soul, accordion, alto, baritone, baritone, bass, bassoon, bugle, celeste, cello, clarinet, coloratura, didgeridoo, double bass, drum set, electric bass, electric guitar, English horn, euphonium, fife, flute, French horn, glockenspiel, guitar, harmonica, harp, horn, hurdy-gurdy, instrument, Jew's harp, koto, lute, marimba, melodica, ney, oboe, ocarina, organ, piano, piano, piccolo, quena, ryuteki, saxophone, soprano, tenor, timpani, trombone, trumpet, tuba, ukulele, viola, violin, whistle, xylophone, yunluo, zither, [instrument] player, member of [musical group], Band, Choir, choir, chorus, duet, Ensemble , nonet, octet, octet, Orchestra, Philharmonic, quartet, quintet, septet, sinfonietta, Symphony, trio, album, aria, concert, concerto, improv, improvisation, musical, opera, operetta, performance, piece, radio, recording, score, single, sonata, song, standard, track"
OccCode-001,"marine engineers and naval architects, architectural drafters, architect, architectural drafter, architects, landscape architects, landscape architect, marine engineers and naval architect"
OccCode-001–003,"drafter, drafters"
OccCode-002,"aerospace engineer, aerospace engineers"
OccCode-003,"electrical technicians, artificial intelligence specialists, solar energy technician, instrumentation technician, electronics technician, instructional designers, telephone design engineer, telephone design engineers, instructional designer, laser and fiber optics technician, artificial intelligence specialist, cam operators, electrical engineers, laser and fiber optics technicians, instrumentation technicians, electronics technicians, energy conservation technician, cam operator, microwave engineer, cad specialists, electrical engineer, electromechanical technicians, cad specialist, electromechanical technician, microwave engineers, electrical technician, office planner, solar energy technicians, telephone central office design engineer, telephone central office design engineers, energy conservation technicians, office planners"
OccCode-005,"foresters, drafter, sanitary engineer, transportation engineers, traffic engineer, civil engineer, sanitary engineers, civil engineering technicians, drafters, civil engineers, highway engineer, highway engineers, forester, civil engineering technician, transportation engineer, traffic engineers"
OccCode-006,"ceramic engineer, ceramic engineers"
OccCode-007,"fluid power technician, drafter, air conditioning and heating technicians, mechanical engineering technicians, mechanical engineer, cam operators, air conditioning and heating technician, cam operator, mining technicians, drafters, air conditioning engineers, air conditioning engineer, mechanical engineers, fluid power technicians, mechanical engineering technician, mining technician"
OccCode-008,"chemical engineers, chemical engineer, chemical technicians, chemical technician"
OccCode-010,"petroleum engineers, safety engineer, automotive exhaust emissions technician, petroleum engineer, petroleum and natural gas exploration and production worker, mining engineers, mining engineer, petroleum and natural gas exploration and production workers, safety engineers, automotive exhaust emissions technicians"
OccCode-010–011,"mining technicians, mining technician"
OccCode-011,"metallurgical technician, metallurgical technicians, metallurgical engineer, metallurgical engineers"
OccCode-012,"fire protection engineer, industrial engineers, industrial hygienist, ergonomist, production, planning, and expediting clerks, cam operators, organizational developer, fire protection engineers, systems analyst, cam operator, safety engineer, manufacturing engineer, industrial engineer, ergonomists, industrial hygienists, systems analysts, safety engineers, organizational developers, manufacturing engineers, office planner, production, planning, and expediting clerk, office planners"
OccCode-013,"agricultural technician, agricultural engineer, agricultural engineers, agricultural technicians"
OccCode-014,"marine engineers and naval architects, drafter, drafters, marine engineers and naval architect"
OccCode-015,"nuclear technician, nuclear engineers, nuclear technicians, nuclear engineer"
OccCode-017,"drafter, commercial artists, drafters, commercial artist"
OccCode-018,"technical support specialist, software trainers, surveyor, surveyor's helper, usability researcher, computer consultant, surveyor's helpers, usability researchers, computer consultants, mining technicians, cartographer, software trainer, surveyors, cartographers, web designer, technical support specialists, webmaster, webmasters, mining technician, web designers"
OccCode-019,"ergonomist, biomedical engineer, biomedical equipment technicians, laser and fiber optics technician, biomedical equipment technician, laser and fiber optics technicians, biomedical engineers, ergonomists, specification writer, specification writers, office planner, office planners"
OccCode-020,"technical support specialist, computer programmers, investment bankers, computer software documentation writers, software trainers, operations research analysts, computer programmer, statisticians, systems engineers, computer software documentation writer, mathematicians, usability researcher, demographers, computer consultant, financial analysts, mathematician, systems analyst, actuarie, usability researchers, demographer, computer consultants, software trainer, investment banker, systems engineer, operations research analyst, statistician, actuaries, web designer, systems analysts, financial analyst, technical support specialists, webmaster, webmasters, web designers"
OccCode-021,"astronomers, astronomer"
OccCode-022,"food processing technicians, food processing technician, food scientist, food scientists, chemical technicians, chemists, chemist, chemical technician"
OccCode-023,"physicists, physicist"
OccCode-024,"hydrologist, ocean technician, hydrologists, geologist, geophysicist, ocean technicians, oceanographer, geologists, oceanographers, geophysicists"
OccCode-025,"meteorologists, meteorologist"
OccCode-029,"crime laboratory technicians, environmental health specialist, geographer, environmentalist, air pollution control technicians, crime laboratory technician, environmental technicians, cartographer, environmentalists, environmental health specialists, cartographers, geographers, air pollution control technician, environmental technician"
OccCode-030,"systems analyst, internet entrepreneurs, internet entrepreneur, systems analysts"
OccCode-033,"computer security engineers, technical support specialist, computer network technicians, e-commerce project managers, network administrator, computer security engineer, network administrators, computer network technician, e-commerce project manager, technical support specialists, quality assurance technician, quality assurance technicia"
OccCode-04,"zoologist, zoologists"
OccCode-040,"foresters, crop scientist, range managers, soil scientists, agronomists, agronomist, horticulturists, wood scientists and technologist, crop scientists, wood scientists and technologists, forester, range manager, soil scientist, horticulturist"
OccCode-040–041,"food scientist, wildlife manager, food scientists, wildlife managers"
OccCode-041,"food processing technicians, microbiologist, pathologist, epidemiologists, zoo administrator, food processing technician, botanist, genetic engineering research scientists, epidemiologist, ocean technician, biochemists, genetic engineering research scientist, zoo administrators, entomologists, pharmacologists, anatomists, ocean technicians, microbiologists, oceanographer, biochemist, pharmacologist, biologist, oceanographers, botanists, biologists, pathologists, entomologist, anatomist"
OccCode-045,"rehabilitation counselor, psychologist, vocational counselor, marketing research workers, employment agent, employment agents, substance abuse counselors, vocational counselors, school counselor, marketing research worker, psychologists, school counselors, rehabilitation counselors, substance abuse counselor"
OccCode-049,"biological technician, biological technicians"
OccCode-050,"marketing research workers, economists, economist, marketing research worker"
OccCode-051,"political scientists, political scientist"
OccCode-052,"historian, historians"
OccCode-054,"criminologists, criminologist, sociologist, sociologists"
OccCode-055,"anthropologists, archaeologists, anthropologist, archaeologist"
OccCode-059,"forensic scientist, demographers, linguist, demographer, linguists, forensic scientists"
OccCode-070,"physician, pathologist, epidemiologists, ophthalmologists, surgeon, epidemiologist, anesthesiologists, psychiatrist, surgeons, ophthalmologist, physicians, psychiatrists, pathologists, anesthesiologist"
OccCode-071,"osteopathic physician, osteopathic physicians"
OccCode-072,"dentists, dentist"
OccCode-073,"pathologist, epidemiologists, veterinarians, veterinarian, zoo administrator, epidemiologist, zoo administrators, pharmacologists, pharmacologist, pathologists"
OccCode-074,"pharmacist, pharmacists, pharmaceutical technician, pharmaceutical technicians"
OccCode-075,"registered nurses, nurse–midwive, registered nurse, nurse–midwives, nurse anesthetist, nurse anesthetists"
OccCode-076,"occupational therapists, physical therapy assistants, occupational therapy assistant, recreational therapist, recreation worker, physical therapy assistant, speech pathologists and audiologist, recreational therapists, speech pathologists and audiologists, physical therapist, recreation workers, occupational therapy assistants, occupational therapist, physical therapists"
OccCode-077,"dietitians and nutritionists, menu planners, dietetic technicians, dietetic technician, dietitians and nutritionist, menu planner"
