term,code(s)
architects,001
architect,001
architectural drafters,001
architectural drafter,001
landscape architects,001
landscape architect,001
marine engineers and naval architects,"001, 014"
marine engineers and naval architect,"001, 014"
drafters,"001–003, 005, 007, 014, 017"
drafter,"001–003, 005, 007, 014, 017"
aerospace engineers,002
aerospace engineer,002
artificial intelligence specialists,003
artificial intelligence specialist,003
electrical engineers,003
electrical engineer,003
electromechanical technicians,003
electromechanical technician,003
instructional designers,003
instructional designer,003
instrumentation technicians,003
instrumentation technician,003
microwave engineers,003
microwave engineer,003
telephone central office design engineers,003
telephone central office design engineer,003
telephone design engineers,003
telephone design engineer,003
cam operators,"003, 007, 012"
cam operator,"003, 007, 012"
office planners,"003, 012, 019, 142"
office planner,"003, 012, 019, 142"
laser and fiber optics technicians,"003, 019, 823"
laser and fiber optics technician,"003, 019, 823"
cad specialists,"003, 141"
cad specialist,"003, 141"
electrical technicians,"003, 168"
electrical technician,"003, 168"
solar energy technicians,"003, 637"
solar energy technician,"003, 637"
electronics technicians,"003, 726, 828"
electronics technician,"003, 726, 828"
energy conservation technicians,"003, 959"
energy conservation technician,"003, 959"
civil engineering technicians,005
civil engineering technician,005
civil engineers,005
civil engineer,005
highway engineers,005
highway engineer,005
sanitary engineers,005
sanitary engineer,005
traffic engineers,005
traffic engineer,005
transportation engineers,005
transportation engineer,005
foresters,"005, 040, 452"
forester,"005, 040, 452"
ceramic engineers,006
ceramic engineer,006
air conditioning and heating technicians,007
air conditioning and heating technician,007
air conditioning engineers,007
air conditioning engineer,007
mechanical engineering technicians,007
mechanical engineering technician,007
mechanical engineers,007
mechanical engineer,007
mining technicians,"007, 010–011, 018"
mining technician,"007, 010–011, 018"
fluid power technicians,"007, 600"
fluid power technician,"007, 600"
chemical engineers,008
chemical engineer,008
chemical technicians,"008, 022"
chemical technician,"008, 022"
mining engineers,010
mining engineer,010
petroleum engineers,010
petroleum engineer,010
safety engineers,"010, 012, 168"
safety engineer,"010, 012, 168"
petroleum and natural gas exploration and production workers,"010, 541, 869, 914, 930–931"
petroleum and natural gas exploration and production worker,"010, 541, 869, 914, 930–931"
automotive exhaust emissions technicians,"010, 620"
automotive exhaust emissions technician,"010, 620"
metallurgical engineers,011
metallurgical engineer,011
metallurgical technicians,011
metallurgical technician,011
fire protection engineers,012
fire protection engineer,012
industrial engineers,012
industrial engineer,012
manufacturing engineers,012
manufacturing engineer,012
ergonomists,"012, 019, 161"
ergonomist,"012, 019, 161"
systems analysts,"012, 020, 030, 161"
systems analyst,"012, 020, 030, 161"
industrial hygienists,"012, 079"
industrial hygienist,"012, 079"
organizational developers,"012, 161, 166, 189, 199"
organizational developer,"012, 161, 166, 189, 199"
"production, planning, and expediting clerks","012, 221–222"
"production, planning, and expediting clerk","012, 221–222"
agricultural engineers,013
agricultural engineer,013
agricultural technicians,"013, 162, 272, 523"
agricultural technician,"013, 162, 272, 523"
nuclear engineers,015
nuclear engineer,015
nuclear technicians,"015, 199, 952, 955"
nuclear technician,"015, 199, 952, 955"
commercial artists,"017, 141, 970"
commercial artist,"017, 141, 970"
surveyors,018
surveyor,018
computer consultants,"018, 020"
computer consultant,"018, 020"
software trainers,"018, 020"
software trainer,"018, 020"
usability researchers,"018, 020"
usability researcher,"018, 020"
web designers,"018, 020"
web designer,"018, 020"
technical support specialists,"018, 020, 033"
technical support specialist,"018, 020, 033"
webmasters,"018, 020, 185"
webmaster,"018, 020, 185"
cartographers,"018, 029"
cartographer,"018, 029"
surveyor's helpers,"018, 869"
surveyor's helper,"018, 869"
biomedical engineers,019
biomedical engineer,019
specification writers,019
specification writer,019
biomedical equipment technicians,"019, 719"
biomedical equipment technician,"019, 719"
actuaries,020
actuarie,020
computer programmers,020
computer programmer,020
computer software documentation writers,020
computer software documentation writer,020
financial analysts,020
financial analyst,020
investment bankers,020
investment banker,020
mathematicians,020
mathematician,020
operations research analysts,020
operations research analyst,020
statisticians,020
statistician,020
systems engineers,020
systems engineer,020
demographers,"020, 059"
demographer,"020, 059"
astronomers,021
astronomer,021
chemists,022
chemist,022
food scientists,"022, 040–041"
food scientist,"022, 040–041"
food processing technicians,"022, 041, 274"
food processing technician,"022, 041, 274"
physicists,023
physicist,023
geologists,024
geologist,024
geophysicists,024
geophysicist,024
hydrologists,024
hydrologist,024
ocean technicians,"024, 041"
ocean technician,"024, 041"
oceanographers,"024, 041"
oceanographer,"024, 041"
meteorologists,025
meteorologist,025
air pollution control technicians,029
air pollution control technician,029
environmental health specialists,029
environmental health specialist,029
environmentalists,029
environmentalist,029
geographers,029
geographer,029
crime laboratory technicians,"029, 199, 375"
crime laboratory technician,"029, 199, 375"
environmental technicians,"029, 955"
environmental technician,"029, 955"
internet entrepreneurs,"030, 141, 979"
internet entrepreneur,"030, 141, 979"
computer network technicians,033
computer network technician,033
computer security engineers,033
computer security engineer,033
quality assurance technician,033
quality assurance technicia,033
e-commerce project managers,"033, 185"
e-commerce project manager,"033, 185"
network administrators,"033, 185"
network administrator,"033, 185"
zoologists,04
zoologist,04
agronomists,040
agronomist,040
crop scientists,040
crop scientist,040
horticulturists,040
horticulturist,040
range managers,040
range manager,040
soil scientists,040
soil scientist,040
wood scientists and technologists,040
wood scientists and technologist,040
wildlife managers,"040–041, 180, 379"
wildlife manager,"040–041, 180, 379"
anatomists,041
anatomist,041
biochemists,041
biochemist,041
biologists,041
biologist,041
botanists,041
botanist,041
entomologists,041
entomologist,041
epidemiologists,"041, 070, 073"
epidemiologist,"041, 070, 073"
pathologists,"041, 070, 073"
pathologist,"041, 070, 073"
pharmacologists,"041, 073"
pharmacologist,"041, 073"
zoo administrators,"041, 073, 102"
zoo administrator,"041, 073, 102"
microbiologists,"041, 078"
microbiologist,"041, 078"
genetic engineering research scientists,"041, 199"
genetic engineering research scientist,"041, 199"
psychologists,045
psychologist,045
rehabilitation counselors,045
rehabilitation counselor,045
school counselors,045
school counselor,045
substance abuse counselors,045
substance abuse counselor,045
marketing research workers,"045, 050, 189"
marketing research worker,"045, 050, 189"
employment agents,"045, 166"
employment agent,"045, 166"
vocational counselors,"045, 166"
vocational counselor,"045, 166"
biological technicians,"049, 078, 199"
biological technician,"049, 078, 199"
economists,050
economist,050
political scientists,051
political scientist,051
historians,052
historian,052
criminologists,054
criminologist,054
sociologists,054
sociologist,054
anthropologists,055
anthropologist,055
archaeologists,055
archaeologist,055
forensic scientists,059
forensic scientist,059
linguists,059
linguist,059
anesthesiologists,070
anesthesiologist,070
ophthalmologists,070
ophthalmologist,070
physicians,070
physician,070
psychiatrists,070
psychiatrist,070
surgeons,070
surgeon,070
osteopathic physicians,071
osteopathic physician,071
dentists,072
dentist,072
veterinarians,073
veterinarian,073
pharmaceutical technicians,074
pharmaceutical technician,074
pharmacists,074
pharmacist,074
nurse anesthetists,075
nurse anesthetist,075
nurse–midwives,075
nurse–midwive,075
registered nurses,075
registered nurse,075
occupational therapists,076
occupational therapist,076
occupational therapy assistants,076
occupational therapy assistant,076
physical therapists,076
physical therapist,076
physical therapy assistants,076
physical therapy assistant,076
recreational therapists,076
recreational therapist,076
speech pathologists and audiologists,076
