word,code(s)
''today'' show,naics-51
Band,KZ-Music
Choir,KZ-Music
English horn,KZ-Music
Ensemble ,KZ-Music
French horn,KZ-Music
Jew's harp,KZ-Music
Latin,KZ-Music
Orchestra,KZ-Music
Philharmonic,KZ-Music
R&B,KZ-Music
Symphony,KZ-Music
[army officer],naics-92
[composer],naics-71
[instrument] player,KZ-Music
[law firm],naics-54
[pediatric allergis],naics-62
[theater director],naics-71
[theater],naics-71
a and e mechanic,occ2000-714
a and p mechanic,occ2000-714
a c mechanic,occ2000-714
a mill operator,occ2000-896
a operator,"occ2000-502, occ2000-896"
a.b. seaman,occ2000-930
a.b.c. board inspector,occ2000-056
a.c. nielsen company,naics-54
a.c.p. clerk,occ2000-593
a.d.p customer liaison,occ2000-104
a.d.p planner,occ2000-106
a.d.p system coordinator,occ2000-110
a.d.p systems security,occ2000-110
a.m.f. mechanic,occ2000-762
a.s.a.t.  c.o.r.e. counselor,occ2000-200
a.t.m specialist,occ2000-701
abalone fisherman,occ2000-610
abalone processor,occ2000-896
abattoir supervisor,occ2000-770
able seaman,occ2000-930
abnormal psychologist,occ2000-182
abnormal psychology teacher,occ2000-220
abraham & straus,naics-44
abrasive and polished products supervisor,occ2000-770
abrasive coating machine set up operator,occ2000-881
abrasive grader,occ2000-874
abrasive grinder,occ2000-865
abrasive mixer,occ2000-865
abrasive mixer helper,occ2000-895
abrasive wheel molder,occ2000-872
abrasive worker,occ2000-800
abrasives sales,occ2000-485
absorber operator,occ2000-864
absorption engineer,occ2000-135
absorption plant operator,occ2000-863
abstract clerk,occ2000-215
abstract searcher,occ2000-215
abstract writer,occ2000-215
abstractor,occ2000-215
academy of sciences,naics-81
accelerator operator,occ2000-194
accessioner,occ2000-244
accident investigator,"occ2000-382, occ2000-054"
accident prevention squad police officer,occ2000-385
accompanist,"occ2000-275, isco08-2652"
accordion,KZ-Music
accordion maker,occ2000-855
accordion repairer,occ2000-743
accordion tuner,occ2000-743
account adjuster,occ2000-524
account analyst,"occ2000-054, occ2000-511"
account auditor,occ2000-080
account executive,"occ2000-481, occ2000-004, occ2000-485, occ2000-480, occ2000-482"
account information clerk,occ2000-512
account manager,"occ2000-012, occ2000-524"
"account representative--see ""account executive""",occ2000-
accountant,occ2000-080
accountant accounting work,occ2000-080
accountant helper,occ2000-512
