fn,firstSentence,basedOn,code
Indobit-A-NYT1986_1001-1500-310.txt,"Daniel Bartel Stampler, who founded one of the most popular steak houses in Greenwich Village and ran it for almost 25 years, died Thursday at North Miami Medical Center after a brief illness.",popular,KZ-Genre
Indobit-A-NYT1983 - April 1 - June 30-71.txt,"Allan D. Dowling, poet, author, publisher, librettist and film producer, died in London on Wednesday.",producer," 159, 187, 962
"
Indobit-A-NYT1983 - July 1 - Sep 30-130.txt,"Dr. Bernard Straus, director emeritus of medicine at New York's Beth Israel Medical Center, died of cancer Friday at Beth Israel Hospital.",director," 150, 159
"
Indobit-A-NYT1980_501-904-318.txt,"Richard G. Drew, a chemical engineer who invented Scotch tape, died Sunday in Santa Barbara, Calif., where he took up residence after his retirement.",chemical engineer," 008
"
Indobit-A-NYT1982_1-500-274.txt,"Ralph E. Casey, a former Government lawyer who sharply criticized excessive subsidies to private shipping companies and who later became the chief spokesman for a large segment of that industry, died of cancer Tuesday night at his home in Point Clear, Ala.",lawyer," 110–111
"
Indobit-A-NYT1985 - Jan 1 - March 31-308.txt,"Dr. Robert J. Booher, surgeon emeritus at the Memorial Sloan-Kettering Cancer Center and a frequent contributor to medical and surgical journals, died at his home in Bronxville, N.Y., Friday of hepatitis.",surgeon," 070
"
Indobit-A-NYT1984_1001-1500-163.txt,"Charles J. Young, a retired RCA Corporation scientist and inventor who led in the development of the wire and radio transmission of pictures and other images, died Tuesday at The Medical Center at Princeton, N.J.",radio,KZ-Forms of Music
Indobit-A-NYT1985 - Jan 1 - March 31-169.txt,"Dr. Vera D. Rubin, an anthropologist and the director of the Research Institute for the Study of Man, died yesterday at her home in Manhattan.",anthropologist," 055
"
Indobit-A-NYT1985 - Jan 1 - March 31-169.txt,"Dr. Vera D. Rubin, an anthropologist and the director of the Research Institute for the Study of Man, died yesterday at her home in Manhattan.",director," 150, 159
"
Indobit-A-NYT1983 - Jan 1 - March 31-377.txt,"Aldege (Baz) Bastien, general manager of the Pittsburgh Penguins of the National Hockey League, died early today after his car collided with a motorcycle on a suburban highway.",general manager," 189
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-326.txt,"Thomas G. Corcoran, a prominent Washington lawyer and adviser in Franklin D. Roosevelt's Administration, died today at the Washington Hospital Center of a pulmonary blood clot after surgery.",lawyer," 110–111
"
Indobit-A-NYT1985 - April 1 - June 30-13.txt,"William Tobey, sales promotion director of Abraham & Straus for 32 years until his retirement as a senior vice president in 1977, died in his sleep on Saturday at his home in Manhattan.",director," 150, 159
"
Indobit-A-NYT1981 - July 1 - Sep 30-30.txt,"Jane Davison, a social historian and editor who frequently wrote about houses and architecture, died of cancer in Cambridge, Mass., on Saturday.",historian," 052
"
Indobit-A-NYT1981 - July 1 - Sep 30-30.txt,"Jane Davison, a social historian and editor who frequently wrote about houses and architecture, died of cancer in Cambridge, Mass., on Saturday.",architect," 001
"
Indobit-A-NYT1980_501-904-218.txt,"Timothy Healy, a New York City corporate and tax lawyer and longtime member of the Army Reserve, died Sunday at his retirement home in Houston.",lawyer," 110–111
"
Indobit-A-NYT1986_501-1000-343.txt,"Charles Chamberlain Woolley, a writer for radio and television, editor and film maker, died after surgery for intestinal cancer on Nov. 5 at St. Vincent's Hospital.",radio,KZ-Forms of Music
Indobit-A-NYT1984_501-1000-389.txt,"Loretta Lynn's eldest son, described in the country singer's autobiography as ''the one I feel most sentimental about,'' drowned trying to ford the Duck River on horseback, the authorities said today.",singer," 152
"
Indobit-A-NYT1984_501-1000-389.txt,"Loretta Lynn's eldest son, described in the country singer's autobiography as ''the one I feel most sentimental about,'' drowned trying to ford the Duck River on horseback, the authorities said today.",country,KZ-Genre
Indobit-A-NYT1982_1001-1500-67.txt,"Jay Novello, the character actor who was a veteran of hundreds of movies and television roles, died of cancer Thursday in Riverside Hospital, North Hollywood.",actor," 150
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-29.txt,"Donald Kent Brooks, a retired real-estate investment banker, died Friday at his home in Pelham, N.Y.",investment banker," 020
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-350.txt,"Anthony J. (Kid Tony) Sisti, a boxer turned artist who painted President Franklin D. Roosevelt and other well-known people, died Thursday.",artist," 141, 144
"
Indobit-A-NYT1983 - July 1 - Sep 30-344.txt,"Hugh Dryfoos, former vice president in charge of sales for the Paper Novelty Manufacturing Company of New York City and Stamford, Conn., a producer of Christmas decorations, died of cancer yesterday at his home in Manhattan.",producer," 159, 187, 962
"
Indobit-A-NYT1985 - April 1 - June 30-247.txt,"James C. Burge, a film and television actor, died Saturday at his East Side home after respiratory failure due to pneumonia.",actor," 150
"
Indobit-A-NYT1981 - Jan 1 - March 31-54.txt,"Alvin W. Gouldner, a prominent sociologist, died of a heart attack in Madrid on Dec. 15 as he was completing a lecture tour in Europe, it was learned yesterday.",sociologist," 054
"
Indobit-A-NYT1983 - April 1 - June 30-311.txt,"John W. Carncross, an agricultural economist and professor emeritus at Rutgers University, died Thursday of a heart ailment at the Jersey Shore Medical Center in Neptune.",economist," 050
"
Indobit-A-NYT1984_1001-1500-258.txt,"John C. Pemberton, a New York lawyer and a senior director of the Guardian Life Insurance Company of America, on whose board he had served since 1931, died Monday at his home in Manhattan.",lawyer," 110–111
"
Indobit-A-NYT1984_1001-1500-258.txt,"John C. Pemberton, a New York lawyer and a senior director of the Guardian Life Insurance Company of America, on whose board he had served since 1931, died Monday at his home in Manhattan.",director," 150, 159
"
Indobit-A-NYT1983 - April 1 - June 30-162.txt,"Michael Miller, an actor who appeared on Broadway, on television and in the movies, died Wednesday of a heart ailment while on location in Harpers Ferry, W. Va., during the filming of a public television production of ''Pudd'nhead Wilson.''",actor," 150
"
Indobit-A-NYT1982_501-1000-297.txt,"Dr. Barbara Snell Dohrenwend, a social psychologist and epidemiologist who pioneered in studying the relationship between stressful life events and the development of mental illness, died of cancer Monday at the Harkness Pavilion of Columbia-Presbyterian Medical Center.",psychologist," 045
"
Indobit-A-NYT1982_501-1000-297.txt,"Dr. Barbara Snell Dohrenwend, a social psychologist and epidemiologist who pioneered in studying the relationship between stressful life events and the development of mental illness, died of cancer Monday at the Harkness Pavilion of Columbia-Presbyterian Medical Center.",epidemiologist," 041, 070, 073
"
Indobit-A-NYT1981 - April 1 - June 30-354.txt,"Peter J. Donoghue, a retired Family Court judge in Queens, died Thursday in North Shore University Hospital in Manhasset, L.I., after a stroke.",judge," 111
"
Indobit-A-NYT1984_501-1000-437.txt,"Arthur J. Bamford, retired regional director of Management Planning Inc. in Princeton, N.J., a securities evaluation concern, died of a heart attack July 30 at a hospital in Miami.",director," 150, 159
"
