word,count,docCount
united,163,9,"After the war , those two provinces , plus the inland , oasis-dotted province of Fezzan , were united as a Libyan nation .","Sheik Abdullah immediately organized a group of young Moslem intellectuals united by an intense hatred of Hari Singh , the Maharajah of Kashmir and a Hindu .",He was also a man who united his ethnic background with political activism .
march,83,6,He was a battalion commander in the 31st Regiment when Japanese invaders defeated United States and Filipino forces on the Bataan peninsula in the Philippines in April 1942 and forced their prisoners on the death march to prison camps .,"In 1936 , he led several hundred blacks to City Hall in a voting rights march , an event both highly unusual and dangerous in that era .","Mr. Rocco was a lawyer who owned a lumberyard in Methuen , Mass. , and worked as a builder until he retired at the age of 96 , He was a ''chief figure '' in the nine- week strike and ''skipped school to march with pickets from mill to mill , '' said Gregory G. Rocco , his son ."
miss,62,6,We'll miss him . '',We shall miss him . '',She was a friend whom we will miss . ''
king,58,8,-- -- Libya 's First and Last King By ALBIN KREBS Idris I was Libya 's first and last king .,"He became Saudi Arabia 's fourth king when King Faisal was murdered on March 25 , 1975 .",Mr. Clown said the circus became known as the Royal Hanneford Circus when a British king gave its performers a crown in the 1700 's .
university,227,33,He was a university professor and a judge before becoming the Foreign Ministry 's legal adviser shortly before the 1952 military coup that overthrew the monarchy .,He was also an advisor to the university 's Carter G. Woodson Institute for the Study of Afro-American and African Studies .,He earned a bachelor 's degree at the University of Manitoba and received a medical degree from the university in 1926 .
senator,48,7,He added : ''He was n't the kind of senator that would go out and seek publicity . '',In 1936 he was elected a provincial senator and four years later was elected vice governor of Cordoba .,"He was president of the lower house from 1947 to 1948 , leaving the post to be elected a senator , a post he retained until his death ."
east,53,8,"''Buster , your insults show that you are the east end of a horse going west , '' he wrote to one irate constituent .","With General Clark 's Fifth Army on the west and the British Eighth Army on the east , the Allies pushed up the Italian peninsula .","Sally Shelton , the United States Ambassador to Barbados from 1979-81 , said Mr. Adams and Barbados served as a link between the micro-states to the east and the larger Caribbean nations such as Jamaica ."
states,123,19,"For a decade Mrs. Pfiester provided a service that made Valentine 's Day special for 85,000 people in 50 states and 30 foreign countries .","The decision had repercussions for years , and it became a touchstone for legal struggles in other states .","In 1981 , a Presidential Commission recommended that states endorse the concept that human life ended when the brain stopped functioning ."
assembly,37,6,"A Benign Autocracy Later , after the federation of the Libyan provinces was formed and a provisional assembly drafted a Constitution and proclaimed Idris King , many Tripolitanians protested that this ''shepherd ruler '' had been imposed on them by Britain .","He ordered fabrics in bulk , which gave him a price advantage , and he used assembly line procedures in making his clothes .",The affliction forced him to retire from the assembly line in 1983 .
park,37,6,"There is a 23-acre park in Saddle River , however , equipped with playgrounds and tennis courts , and there are recreation programs .",He owned vineyards and three ranches and s old some of his property to Palo Alto so that it became a park .,"A champion of expanded park and recreation programs , he was narrowly re-elected for a third term in 1959 ."
west,94,16,"''Buster , your insults show that you are the east end of a horse going west , '' he wrote to one irate constituent .","With General Clark 's Fifth Army on the west and the British Eighth Army on the east , the Allies pushed up the Italian peninsula .","Vinoba Bhave , a widely venerated disciple of Mohandas K. Gandhi and one of India 's best-known social reformers , died yesterday at his retreat in the west Indian state of Maharashtra , the United News of India reported ."
street,63,11,"Disdaining publicity and believing that there are enough people living here already , residents are pleased to further point out Saddle River 's lack of amenities : no food store , train station , library , hospital , high school , sidewalks , street lights , sewers - not even running water .","Mr. Cameron speaks with a note of pride about the thwarting of efforts by some residents and the county government to install sidewalks , street lights and traffic lights and to widen the narrow roads .","Yesterday , more than 200 people said goodbye to Mr. Davis at Convent Avenue Baptist Church at 145th Street and Convent Avenue in Harlem and paid him tribute with waving black , red and green flags , stirring African drumbeats and a re-enactment of his street corner , step-ladder style of oratory ."
county,103,18,"In 1951 , he became Rensselaer 's Republican county chairman .","Before coming to Congress in 1914 , he served as county prosecutor , county judge and member of the Georgia House of Representatives .","Mr. Cameron speaks with a note of pride about the thwarting of efforts by some residents and the county government to install sidewalks , street lights and traffic lights and to widen the narrow roads ."
democratic,37,7,"It was in the Philippines that General Lansdale framed his basic theory , that Communist revolution was best confronted by democratic revolution .","Ideologically , both parties consider themselves democratic socialists .","He was strongly committed to democratic systems , without being either knee-jerk liberal or conservative . ''"
corporation,58,12,"Judge Barrington D. Parker on Wednesday ordered the corporation , which awards Federal grants to local agencies providing legal services to the poor , to continue supporting the training centers until a trial could be held on the merits of the case .","Last December , after the four regional centers applied for renewed financing , the corporation notified them that their grants would not be renewed .",The centers asked Judge Parker for a preliminary injunction on the ground that Congress had required renewal of all grants when it appropriated the corporation 's funds for the fiscal year 1984 .
academy,34,8,"Three of his sons attended the University of California at Santa Barbara and another studied at Sandhurst , the British military academy .",He was educated at Eton and Sandhurst military academy and served in the Royal Horse Guards .,"Studied in Paris After finishing at the Florence academy , Mr. Marini spent several years traveling , devoting much time to the study of works in the Paris galleries ."
new,547,132,"He had not written a play for 17 years , but at the time of his death he was working on a new drama .","The court held , in a new interpretation of the right of privacy , that Miss Quinlan 's interest in having her life-support systems disconnected exceeded the state 's interest in preserving life , so long as medical authorities saw ''no reasonable possibility '' that she would recover .","In New York , Governor Cuomo last month proposed two new rules for halting efforts to sustain life ."
mayor,28,7,The town mayor said Admiral Doenitz lived there ''completely withdrawn '' but that he was friendly with a few people and that he was ''esteemed '' locally .,He served two terms on the City Council and was the city's vice mayor for two years .,"Mr. Aquino embarked on his political career in 1955 when he was 22 , elected as the youngest mayor in the archipelago by his native Concepcion ."
la,23,6,"Four years later he acquired the license to manufacture Yves Saint Laurent luggage , and added other designer names , including Pierre Cardin , Oscar de la Renta and Gloria Vanderbilt in the 1980 's .","Mr. Musulin is survived by a son , Nicolas , and three daughters , JoAnne de la Riva , Milena Sanchez and Georgene Murray .","His other hits included ''La Cucaracha , '' ''Tchi-Tchi , '' ''Santa Lucia , '' ''Ma Ritournelle , '' ''Besame Mucho , '' ''Sous la Pergola , '' ''Deux Petits Chaussons , '' ''Johnny Guitare , '' ''Mama '' and ''Solenzara . ''"
north,62,17,"Since 1953 , when the brothers opened Les Fr eres Troisgros across from the railroad station in the small town of Roanne north of the French gastronomic capital , Lyons , the pair have played a pivotal role in the development of contemporary French cuisine and the education of young chefs .","Entrenched in the mountains , the Germans under Field Marshal Albert Kesselring , barred the way north with at least 20 divisions .","He Protested Loss of Troops The Allies quickly drove the Germans north of Florence , but later the advance was stalled again by a Kesselring stand in the Apennines outside Bologna , the gateway to the Po Valley ."
cardinal,28,8,The cardinal 's health had been deteriorating for months .,"He was taken to Northwestern Memorial Hospital , where he was pronounced dead at 12:19 A.M. At Holy Name Cathedral , where the cardinal made his last public appearance celebrating Midnight Mass last Christmas Eve , about 1,200 parishioners sobbed as the Rev .",He said that the cardinal had not looked well and that he had asked him if he was sure he should perform it .
hospital,590,174,"LOVELAND , Ohio , Nov. 16 Doris Pfiester , who became famous as the ''Valentine Lady '' for re-mailing Valentines for thousands of people around the world , died at a hospital last weekend .","Later , at the hospital , she was put on a respirator because she was unable to breathe on her own .","Late in July , the Quinlans put their decision before the doctors and hospital officials ."
island,66,20,"In 1949 , Mr. Yadin served as negotiator with the Egyptians in armistice talks on the Greek island of Rhodes .","After an investigation by the Civil Aeronautics Board , the fares were reduced and additional airlines were authorized to fly to the island .","Masayoshi Ohira was born March 12 , 1910 , at Toyohama on the island of Shikoku ."
center,181,56,"Karen Ann Quinlan , who slipped into a coma 10 years ago and became the center of a national debate on the definition of life and the right to die , died yesterday at a nursing home in Morris Plains , N.J. She was 31 years old .","He maintained , as he said in 1964 , that Zionists ''do not owe any legal or political loyalty to Israel , '' adding that the major objective of Zionism is ''to instill in the Jewish people an attachment to Israel as the great center of Jewish civilization . ''","Not until Israel was at peace with its Arab neighbors , and a ''neutral state guaranteed by the great powers '' - a suggestion he had made previously - only then ''will it really become a spiritual and inspirational center for the Jewish people throughout the world . ''"
rabbi,29,10,"He said that only Dr. Stephen Wise , the influential American Reform rabbi , and a few others had heeded his warnings about Nazism .","From 1949 to 1960 , the rabbi was national director of interreligious affairs for the American Jewish Committee .","Rabbi Klein served as senior rabbi of the Free Synagogue from 1949 to 1981 , when he became rabbi emeritus ."
prime,29,10,Defended Caribbean Interests Mr. Adams was a prime mover in the three-year-old Eastern Caribbean Security Alliance backed by the Reagan Administration and he often defended the region's interests to the broader world .,His point was that the British had a moral obligation to help him repurchase some of the vast reaches of prime farmland from absentee owners in Johannesburg .,"In six months , it was being shown in prime time once a week , as well as continuing in its daily afternoon slot ."
