word,count,docCount
senator,33,7,He added : ''He was n't the kind of senator that would go out and seek publicity . '',In 1936 he was elected a provincial senator and four years later was elected vice governor of Cordoba .,"He was president of the lower house from 1947 to 1948 , leaving the post to be elected a senator , a post he retained until his death ."
united,28,9,"After the war , those two provinces , plus the inland , oasis-dotted province of Fezzan , were united as a Libyan nation .","Sheik Abdullah immediately organized a group of young Moslem intellectuals united by an intense hatred of Hari Singh , the Maharajah of Kashmir and a Hindu .",He was also a man who united his ethnic background with political activism .
west,43,16,"''Buster , your insults show that you are the east end of a horse going west , '' he wrote to one irate constituent .","With General Clark 's Fifth Army on the west and the British Eighth Army on the east , the Allies pushed up the Italian peninsula .","Vinoba Bhave , a widely venerated disciple of Mohandas K. Gandhi and one of India 's best-known social reformers , died yesterday at his retreat in the west Indian state of Maharashtra , the United News of India reported ."
east,21,8,"''Buster , your insults show that you are the east end of a horse going west , '' he wrote to one irate constituent .","With General Clark 's Fifth Army on the west and the British Eighth Army on the east , the Allies pushed up the Italian peninsula .","Sally Shelton , the United States Ambassador to Barbados from 1979-81 , said Mr. Adams and Barbados served as a link between the micro-states to the east and the larger Caribbean nations such as Jamaica ."
king,19,8,-- -- Libya 's First and Last King By ALBIN KREBS Idris I was Libya 's first and last king .,"He became Saudi Arabia 's fourth king when King Faisal was murdered on March 25 , 1975 .",Mr. Clown said the circus became known as the Royal Hanneford Circus when a British king gave its performers a crown in the 1700 's .
park,14,6,"There is a 23-acre park in Saddle River , however , equipped with playgrounds and tennis courts , and there are recreation programs .",He owned vineyards and three ranches and s old some of his property to Palo Alto so that it became a park .,"A champion of expanded park and recreation programs , he was narrowly re-elected for a third term in 1959 ."
hospital,396,174,"LOVELAND , Ohio , Nov. 16 Doris Pfiester , who became famous as the ''Valentine Lady '' for re-mailing Valentines for thousands of people around the world , died at a hospital last weekend .","Later , at the hospital , she was put on a respirator because she was unable to breathe on her own .","Late in July , the Quinlans put their decision before the doctors and hospital officials ."
democratic,15,7,"It was in the Philippines that General Lansdale framed his basic theory , that Communist revolution was best confronted by democratic revolution .","Ideologically , both parties consider themselves democratic socialists .","He was strongly committed to democratic systems , without being either knee-jerk liberal or conservative . ''"
county,34,18,"In 1951 , he became Rensselaer 's Republican county chairman .","Before coming to Congress in 1914 , he served as county prosecutor , county judge and member of the Georgia House of Representatives .","Mr. Cameron speaks with a note of pride about the thwarting of efforts by some residents and the county government to install sidewalks , street lights and traffic lights and to widen the narrow roads ."
center,101,56,"Karen Ann Quinlan , who slipped into a coma 10 years ago and became the center of a national debate on the definition of life and the right to die , died yesterday at a nursing home in Morris Plains , N.J. She was 31 years old .","He maintained , as he said in 1964 , that Zionists ''do not owe any legal or political loyalty to Israel , '' adding that the major objective of Zionism is ''to instill in the Jewish people an attachment to Israel as the great center of Jewish civilization . ''","Not until Israel was at peace with its Arab neighbors , and a ''neutral state guaranteed by the great powers '' - a suggestion he had made previously - only then ''will it really become a spiritual and inspirational center for the Jewish people throughout the world . ''"
