word,count,docCount
affair,15,11,"Another affair would lead to his indictment in one of the nation's biggest scandals , involving the Lockheed Aircraft Corporation and an alleged $ 42 million bribe for Mr. Tanaka .","Tanaka Remained Influential Mr. Ohira 's principal supporter in the fight was his old associate , Mr. Tanaka , who remained influential despite his legal problems in the Lockheed affair .",I was the only politician no one ever accused of having an affair . ''
headmaster,10,11,"David Cleaveland Gordon , headmaster emeritus of the Malcolm Gordon School in Garrison , N.Y. , died Wednesday in his home at the school after a long illness .","Mr. Gordon was headmaster of Malcolm Gordon , a private elementary school for boys , from 1952 to 1973 .","He is survived by his wife , Nanette Head Gordon ; a daughter , Mrs. Charles H. Jones Jr. of Jersey City , and a son , David C. Gordon Jr. , the current headmaster at Malcolm Gordon ."
philanthropist,26,29,"Joseph S. Lindemann , a retired cosmetics and pharmaceuticals manufacturer and a philanthropist , died yesterday at his home in Manhattan .","WASHINGTON , June 4 Marion Tully Dimick , a Washington philanthropist , died Tuesday at her home here after a heart attack .","KANSAS CITY , Mo. , Feb. 19 Helen Foresman Spencer , a philanthropist who donated more than $ 18 million to cultural institutions in the Middle West , dies Monday at her home here ."
pioneer,33,43,"A pioneer enthusiast for Victorian architecture , he was chairman of the Victorian Society from its founding until 1976 and the author of ''High Victorian Design '' ( 1951 ) .","Edward Rolke Farber , a pioneer in electronic lighting who is considered to be the inventor of the portable strobe light for still cameras , died of a heart attack Friday at his home in Delafield , Wis .","After two unsuccessful ventures , in 1927 he teamed up with the vending-machine pioneer William Rowe to form a company to sell cigarettes and other products by machine ."
authority,43,57,"He was 68 years old and lived in Kinnelon , N.J. Mr. Kahn , an authority on urban redevelopment and valuation , founded his real-estate and planning service in 1954.It now has offices in New York City and Clifton , N.J. , as well as representatives in London , Edinburgh and Cairo .","Because she was in a coma , the court ruled that her father - and not her doctors or a court - was the authority for deciding her fate in her behalf .","The New Jersey Attorney General , William F. Hyland , who entered the case when constitutional issues were raised , contended that the court did not have the authority to do what the parents were asking ."
yesterday,208,288,"Antonio G. Olivieri , a Manhattan Councilman at Large whose political career in state and city elective office was marked by vigorous advocacy and liberal positions on health , tenant and environmental issues , died yesterday at his Manhattan home .","Karen Ann Quinlan , who slipped into a coma 10 years ago and became the center of a national debate on the definition of life and the right to die , died yesterday at a nursing home in Morris Plains , N.J. She was 31 years old .","Her father , Joseph Quinlan , had been in the room most of yesterday ."
attack,167,233,"Dr. Stafford L. Warren , who was responsible for protecting participants in the development and testing of the first atomic bomb from radiation hazards , died Sunday at his home in Pacific Palisades , Calif. , of a heart attack .","He early recognized the danger of radioactive fallout , and after having served on a special panel that examined survivors of the atomic bomb attack on Hiroshima , near the end of World War II , he repeatedly warned of the potentially disastrous effects of fallout after a nuclear war .","Sanders Kahn , head of Sanders A. Kahn Associates , a New York real-estate and financial consulting concern , died of a heart attack Thursday at St. Clare's Hospital ."
leukemia,10,14,"Dr. Kunkel , a senior physician at the Rockefeller University , was known for his contributions to the study of immunologically linked diseases , including rheumatoid arthritis , systemic lupus erythematosus and leukemia .","Hilda Worthington Smith , a pioneer in labor education , died of leukemia Saturday at a nursing home in Washington .","Pierre S. duPont 4th , died Thursday of leukemia at the age of 71 ."
gynecologist,5,7,"Dr. James Pratt Marr , a Manhattan obstetrician and gynecologist for 54 years , died Wednesday at his home in Manhattan after a short illness .","He wrote two other books , ''Pioneer Surgeons of Women 's Hospital '' in 1957 and ''The Biography of James Marion Sims '' in 1949 , about the early gynecologist and founder of the Women 's Hospital .","Dr. Nelson B. Sackett , a gynecologist and obstetrician and a specialist in gynecological cancer , died of a heart attack Tuesday at New York Hospital ."
archeologist,5,7,"Yigael Yadin , military hero of Israel 's war of independence and archeologist of Masada and the Dead Sea Scrolls , died yesterday of a heart attack in Hadera , Israel .","Born March 21 , 1917 in Jerusalem , to a famed archeologist , Eliezer Sukenik , Mr. Yadin intertwined a life of archeology , military affairs and politics .","Hugh O'Neill Hencken , a leading American archeologist who specialized in the Iron Age in Europe , died Monday at a nursing home on Cape Cod ."
