word,count,docCount
die,1300,14,"Karen Ann Quinlan , who slipped into a coma 10 years ago and became the center of a national debate on the definition of life and the right to die , died yesterday at a nursing home in Morris Plains , N.J. She was 31 years old .","Suit by Parents In a landmark lawsuit on Sept. 12 , 1975 , the Quinlans asked that the respirator be disconnected and that their daughter be allowed to die ''with grace and dignity , '' because there was no hope she would recover .",The suit was filed after the doctors caring for Miss Quinlan had refused a private request by the parents to let her die .
suffer,40,6,"However , in his retirement , Mr. Podgorny remained in good standing and , unlike some other former Soviet leaders , did not suffer the fate of becoming a nonperson .",Men really suffer in marriage more than do women . '',"His artificial heart , an air-powered device , pumped flawlessly despite a number of medical setbacks , including the debilitating strokes he began to suffer within a month of the implant surgery ."
retire,39,15,He said in an interview that he planned to keep on practicing law ''until my clients retire me or the Lord retires me . '',"In 1968 , when Chief Justice Warren told Johnson that he wanted to retire , the President sent Justice Fortas 's name to the Senate .",The man whose company had been absorbed carried out long-held plans to retire .
kill,22,10,The gunman said that he had gone to the church to kill Martin Luther King Sr .,"He advised beginning orchidists to start with one of the most hardy and common varieties , such as the cattleya , because ''it is difficult to kill . ''","Gross left a note saying that he had decided to kill himself rather than ''go back to prison '' after his arrest on a heroin trafficking charge in Los Angeles last month , the police said ."
lead,69,36,"Mr. Roldos 's ability to lead his country was also severely limited by his feud with a former supporter , Assad Bucaram , head of the Congress .","Mr. Selis , a native of New York City , was born blind and spent most of his life insisting that ''the blind must lead the blind . ''",His death is believed unlikely to lead to any shift in Jordanian policy .
say,100,62,"''It takes me two or three years to write a play , '' he would say .","Later , investigators and some of those who knew her were to say she drank frequently and often took pills .","In the view of our group of Oriental medicine , we can say Kim belongs to the death situation . ''"
report,33,26,"His report on the chemicals , which he called lectins , from the Latin word ''lego , '' to choose , coupled with similar work by K.O .","The Duke , who had been ill , had lived in East Africa for more than 50 years , the report said .","Charges in Congressional Report In 1959 , a report issued by Representative Francis E. Walter , a Pennsylvania Democrat who was chairman of the House Un-American Activities Committee , identified Mr. Connelly as part of a Communist attempt to infiltrate legitimate community affairs and win public approval by championing popular causes ."
survive,10,8,"Equally , however , as a people of Africa , they felt a need to preserve their identity and to survive - in effect the continent 's only white tribe .","In 1915 , he was one of a handful of villagers to survive a Turkish massacre ; his father , mother and three brothers were among those killed .",Their three children also survive him .
serve,48,42,"He retired in 1970 at the age of 80 , saying the time had come to pass the opportunity to serve to a younger man .","Mr. Ohira accepted , after being given assurances that he would be allowed to serve without interference .",She was the first woman to serve as president of the 60th Precinct Community Council and the first woman to be president of the Jewish Community Council of the South Shore .
bear,9,8,"It is fitting that this great vessel bear the name Carl Vinson , a name synonomous with military preparedness in the 20th century . ''","For over 10 years this squarely built , heavy-shouldered man , nicknamed the ''Hokkaido bear , '' was among the most active younger politicians on the right of the conservative ruling party .","But she did not bear a son until 1952 , and the infant died within 24 hours ."
