fn,clause
Indobit-A-NYT1981 - July 1 - Sep 30-181.txt,
Indobit-A-NYT1981 - April 1 - June 30-240.txt, an opponent of Shah Mohammed Riza Pahlevi who had been living in political exile in New York and New Jersey since 1958
Indobit-A-NYT1982_1001-1500-396.txt, who became famous as the ''Valentine Lady'' for re-mailing Valentines for thousands of people around the world
Indobit-A-NYT1984_1001-1500-18.txt,
Indobit-A-NYT1981 - July 1 - Sep 30-134.txt, who was responsible for protecting participants in the development and testing of the first atomic bomb from radiation hazards
Indobit-A-NYT1986_501-1000-496.txt," who built many residential developments in Suffolk County, L.I., after World War II"
Indobit-A-NYT1983 - July 1 - Sep 30-7.txt, an international banker in New York City for more than three decades
Indobit-A-NYT1987 - Jan 1 - March 31-193.txt," head of Sanders A. Kahn Associates, a New York real-estate and financial consulting concern"
Indobit-A-NYT1980_501-904-98.txt," a Manhattan Councilman at Large whose political career in state and city elective office was marked by vigorous advocacy and liberal positions on health, tenant and environmental issues"
Indobit-A-NYT1985 - April 1 - June 30-179.txt, a leading figure in American science fiction
Indobit-A-NYT1981 - Oct 1 - Dec 31-190.txt, a former official of the Job Corps
Indobit-A-NYT1985 - July 1 - Sep 30-13.txt," who with his wife, Dorothy, channeled about $500 million to charitable, civic, religious, social, educational, medical and cultural beneficiaries"
Indobit-A-NYT1981 - Jan 1 - March 31-15.txt, one of the original members of the Platters singing group formed in the 1950's
Indobit-A-NYT1985 - April 1 - June 30-283.txt, who slipped into a coma 10 years ago and became the center of a national debate on the definition of life and the right to die
Indobit-A-NYT1981 - Jan 1 - March 31-234.txt, a Communist Party official in charge of the defense and space program since the late 1950's
Indobit-A-NYT1983 - April 1 - June 30-158.txt, a former New York State Senator and Assemblyman
Indobit-A-NYT1985 - Oct 1 - Dec 31-239.txt, a senior official of the Waterfront Commission of New York Harbor for more than 20 years
Indobit-A-NYT1983 - Jan 1 - March 31-201.txt," a pioneering talent agent who handled such clients as Clark Gable, Judy Garland and Joan Crawford"
Indobit-A-NYT1980_1-500-54.txt, one of the leading contenders for the papacy two years ago
