fName,date,name,title,nWordsReport,nWordsCalc,distinctWords
Indobit-A-NYT1980_1-500-8.txt,"june 4, 1980",A.C.NIELSEN,"A.C.NIELSEN,WHO DEVISED SYSTEM THAT RATES TV PROGRAMS,DEAD",753,762,382
Indobit-A-NYT1983 - April 1 - June 30-71.txt,"april 16, 1983",Allan D. Dowling Dead at 79,"Allan D. Dowling Dead at 79; Poet, Publisher and Producer",222,272,152
Indobit-A-NYT1984_1001-1500-168.txt,"october 6, 1984",Roger Drackett Is Dead at 74,Roger Drackett Is Dead at 74; Ex-Chairman of Manufacturer,154,163,99
Indobit-A-NYT1987 - Jan 1 - March 31-243.txt,"february 28, 1987",Jess Larson Is Dead at 82,"Jess Larson Is Dead at 82, Ex-U.S. Government Official",151,181,98
Indobit-A-NYT1983 - Oct 1 - Dec 31-173.txt,"november 6, 1983",,,149,175,100
Indobit-A-NYT1986_1-500-366.txt,"march 29, 1986",John Pratt Dead at 74,John Pratt Dead at 74; Designer for the Dance,211,252,139
Indobit-A-NYT1983 - Oct 1 - Dec 31-350.txt,"december 17, 1983",Anthony Sisti Is Dead at 82,Anthony Sisti Is Dead at 82; Boxer Who Became an Artist,183,228,139
Indobit-A-NYT1985 - April 1 - June 30-247.txt,"june 3, 1985",James C. Burge Dead at 41,James C. Burge Dead at 41; Actor Was to Receive Ph.D.,178,207,123
Indobit-A-NYT1984_1001-1500-128.txt,"september 26, 1984",Dr.EdwardJ.Hornick,"Dr.EdwardJ.Hornick, A Clinical Psychiatrist",183,199,104
Indobit-A-NYT1985 - Oct 1 - Dec 31-18.txt,"october 4, 1985",William Speer Is Dead at 74,William Speer Is Dead at 74; A Dean at M.I.T. for 22 Years,118,141,85
Indobit-A-NYT1987 - April 1 - June 30-311.txt,"june 7, 1987",PAUL S. WILLIS IS DEAD AT 96,PAUL S. WILLIS IS DEAD AT 96; EX-LEADER IN FOOD INDUSTRY,498,527,270
Indobit-A-NYT1982_501-1000-456.txt,"august 11, 1982","Correction Appended JOHN L. SULLIVAN DIES AT 83","Correction Appended JOHN L. SULLIVAN DIES AT 83; NAVY SECRETARY FOR TRUMAN",572,648,319
Indobit-A-NYT1984_501-1000-437.txt,"august 8, 1984",Arthur Bramford Dies at 71,Arthur Bramford Dies at 71; Retired Securities Evaluator,161,186,117
Indobit-A-NYT1983 - Jan 1 - March 31-393.txt,"march 19, 1983",OBITUARY,"OBITUARY; ADRIAN S. FISHER, 69, ARMS TREATY NEGOTIATOR",669,737,344
Indobit-A-NYT1984_1-500-59.txt,"january 14, 1984",Dr. Alfred Gilman Dies at 75,Dr. Alfred Gilman Dies at 75; Authority on Pharmacology,162,185,98
