,Genre,Group,Occupation,Instrument,Forms of Music,Verbs,Adjoining Terms
,bebop,Band,Agent,accordion,album,compose,[instrument] player
,classical,Choir,Artist,alto,aria,conduct,member of [musical group]
,country,choir,Band member,baritone,concert,debut,
,dixieland,chorus,Bandleader,baritone,concerto,develop,
,expressionist,duet,Bandmaster,bass,improv,direct,
,folk,Ensemble ,Bandurist,bassoon,improvisation,found,
,gospel,nonet,Bard,bugle,musical,lead,
,impressionist,octet,Bassist,celeste,opera,learn,
,jazz,octet,Bassoonist,cello,operetta,organize,
,Latin,Orchestra,Cellist,clarinet,performance,perform,
,modernist,Philharmonic,Clarinetist,coloratura,piece,play,
,neoclassical,quartet,Composer,didgeridoo,radio,practice,
,neoromantic,quintet,Concertmaster,double bass,recording,rehearse,
,pop,septet,Conductor,drum set,score,sing,
,popular,sinfonietta,Conductor,electric bass,single,study,
,punk,Symphony,Crew member,electric guitar,sonata,win,
,R&B,trio,D.J.,English horn,song,,
,reggae,,Director,euphonium,standard,,
,rock,,Disc jockey,fife,track,,
,rock 'n' roll,,DJ,flute,,,
,romantic,,Drummer,French horn,,,
,soul,,Fifer,glockenspiel,,,
,,,Flutist,guitar,,,
,,,Guitar technician,harmonica,,,
,,,Guitarist,harp,,,
,,,harpist,horn,,,
,,,hitmaker,hurdy-gurdy,,,
,,,hornist,instrument,,,
,,,Impresario,Jew's harp,,,
,,,keyboardist,koto,,,
,,,Musician,lute,,,
,,,Oboist,marimba,,,
,,,organist,melodica,,,
,,,Percussionist,ney,,,
,,,Pianist,oboe,,,
,,,Singer ,ocarina,,,
,,,soloist,organ,,,
,,,Timpanist,piano,,,
,,,Trombonist,piano,,,
,,,Trumpeter,piccolo,,,
,,,Violinist,quena,,,
,,,Violist,ryuteki,,,
,,,Vocalist,saxophone,,,
,,,,soprano,,,
,,,,tenor,,,
,,,,timpani,,,
,,,,trombone,,,
,,,,trumpet,,,
,,,,tuba,,,
,,,,ukulele,,,
,,,,viola,,,
,,,,violin,,,
,,,,whistle,,,
,,,,xylophone,,,
,,,,yunluo,,,
,,,,zither,,,
