sentence,clause
"Arthur Charles Nielsen, the Middle Western engineer whose little silver boxes are the controversial but uncontested scorekeepers of American television, died after a long illness in Northwestern Memorial Hospital in Chicago on Sunday.", the Middle Western engineer whose little silver boxes are the controversial but uncontested scorekeepers of American television
"Faith Whitney Ziesing, a former trustee of Sarah Lawrence College, died of cancer last Friday at her home in Princeton, N.J. She was 75 years old.", a former trustee of Sarah Lawrence College
"Paddy Chayefsky died on Saturday, Aug. 1, in the final act of a life as complex and colorful as anything he wrote, and in the middle of his return to the theater he viewed with love and anguish.", Aug. 1
"John B. Sullivan, retired deputy chief fire marshal of the New York City Fire Department, died Saturday at his home in the Bronx.", retired deputy chief fire marshal of the New York City Fire Department
"Bishop John A. T. Robinson, the Anglican theologian whose unorthodoxy drew the wrath of traditionalist leaders of the Church of England, died Monday night at his home in Yorkshire, England.", the Anglican theologian whose unorthodoxy drew the wrath of traditionalist leaders of the Church of England
"Manuel Mujica Lainez, an Argentine author who established his reputation with writings on the decadence of Argentina's upper classes, died April 21 in his home in Cordoba, Argentina of lung cancer.", an Argentine author who established his reputation with writings on the decadence of Argentina's upper classes
"Daniel Bartel Stampler, who founded one of the most popular steak houses in Greenwich Village and ran it for almost 25 years, died Thursday at North Miami Medical Center after a brief illness.", who founded one of the most popular steak houses in Greenwich Village and ran it for almost 25 years
"Allan D. Dowling, poet, author, publisher, librettist and film producer, died in London on Wednesday.", poet
"Dr. Bernard Straus, director emeritus of medicine at New York's Beth Israel Medical Center, died of cancer Friday at Beth Israel Hospital.", director emeritus of medicine at New York's Beth Israel Medical Center
"Frank W. Packard, a wine merchant and retailer who was a leader in discount merchandising, died Sunday of a heart attack at an apartment he maintained in Manhattan.", a wine merchant and retailer who was a leader in discount merchandising
"Richard G. Drew, a chemical engineer who invented Scotch tape, died Sunday in Santa Barbara, Calif., where he took up residence after his retirement.", a chemical engineer who invented Scotch tape
"Ahrne Thorne, a Yiddish writer and the last editor of the defunct New York anarchist journal Freie Arbeiter Stimme (Free Voice of Labor), died of cancer Friday at his home in the Bronx.", a Yiddish writer and the last editor of the defunct New York anarchist journal Freie Arbeiter Stimme (Free Voice of Labor)
"Ali Shayegan, an opponent of Shah Mohammed Riza Pahlevi who had been living in political exile in New York and New Jersey since 1958, died Monday at the Pascack Valley Hospital in Westwood, N.J., after suffering a stroke.", an opponent of Shah Mohammed Riza Pahlevi who had been living in political exile in New York and New Jersey since 1958
"Ralph E. Casey, a former Government lawyer who sharply criticized excessive subsidies to private shipping companies and who later became the chief spokesman for a large segment of that industry, died of cancer Tuesday night at his home in Point Clear, Ala.", a former Government lawyer who sharply criticized excessive subsidies to private shipping companies and who later became the chief spokesman for a large segment of that industry
"Dr. Robert J. Booher, surgeon emeritus at the Memorial Sloan-Kettering Cancer Center and a frequent contributor to medical and surgical journals, died at his home in Bronxville, N.Y., Friday of hepatitis.", surgeon emeritus at the Memorial Sloan-Kettering Cancer Center and a frequent contributor to medical and surgical journals
"Dr. Shalom Spiegel, a retired professor of Hebrew literature at the Jewish Theological Seminary, died Thursday at Mount Sinai Hospital.", a retired professor of Hebrew literature at the Jewish Theological Seminary
"Piero Vinci, an Italian diplomat who served as his country's delegate to the United Nations in the 1960's and 1970's, died of a heart attack Wednesday while vacationing in Ischia.", an Italian diplomat who served as his country's delegate to the United Nations in the 1960's and 1970's
"Rudi Gernreich, the country's leading avant-garde designer during the 1950's and 60's, died of cancer yesterday at the Cedar Sinai Medical Center in Los Angeles.", the country's leading avant-garde designer during the 1950's and 60's
"Charles J. Young, a retired RCA Corporation scientist and inventor who led in the development of the wire and radio transmission of pictures and other images, died Tuesday at The Medical Center at Princeton, N.J.", a retired RCA Corporation scientist and inventor who led in the development of the wire and radio transmission of pictures and other images
"Peter A. Bator, a senior partner in the New York City law firm of Davis Polk & Wardwell, died of heart failure Friday at his apartment in Manhattan.", a senior partner in the New York City law firm of Davis Polk & Wardwell
"Dr. Henri Abel, a dermatologist and member of the emeritus staff of the Elizabeth (N.J.) General Medical Center, died of heart disease May 11 at the hospital.", a dermatologist and member of the emeritus staff of the Elizabeth (N.J.) General Medical Center
"Jo-Ann Price, a reporter and religion editor for The New York Herald Tribune, died Thursday of cancer at Brooklyn Hospital.", a reporter and religion editor for The New York Herald Tribune
"Edwin Denby, a poet and one of the most influential dance critics in America, committed suicide Tuesday night at his summer home in Searsport, Me.", a poet and one of the most influential dance critics in America
"Dr. Vera D. Rubin, an anthropologist and the director of the Research Institute for the Study of Man, died yesterday at her home in Manhattan.", an anthropologist and the director of the Research Institute for the Study of Man
"Ted Berrigan, a poet, died Monday at his home in Greenwich Village.", a poet
"Aldege (Baz) Bastien, general manager of the Pittsburgh Penguins of the National Hockey League, died early today after his car collided with a motorcycle on a suburban highway.", general manager of the Pittsburgh Penguins of the National Hockey League
